"id","system_id","version","modified_user_id","modified_user_name","modified_datetime","operation_type","effective_start_datetime","effective_end_datetime","entity_status","owner_id","Name","Description","IsBaseEligible","BlendRecipeId","BaseBlendTypeId","IsThixotropic","IsAdditiveEligible","AdditiveTypeDescription","ProductId","AdditiveTypeSystemId","BlendPrimaryCategoryName","BagSize","Density","ProductName","BlendPrimaryCategoryDescription","BlendPrimaryCategoryId","SpecificGravity","AdditiveTypeId","BlendRecipeSystemId","BlendRecipeDescription","BaseBlendTypeName","BlendPrimaryCategorySystemId","BaseBlendTypeSystemId","ProductDescription","BaseBlendTypeDescription","BlendRecipeName","Yield","ProductSystemId","MixWater","AdditiveTypeName","AERCode"
97,92,1,"0","",2018-09-28 18:10:44,1,2017-09-28 18:10:44,9999-12-31 23:59:59,0,0,"2:1:0 'G' (Sask)","",1,22,193,0,0,,103,,Cementing Blend,,1649.00,"2:1:0 'G' (Sask)",,1,2.69,,22,,"2:1:0 'G' (Sask)",1,79,"2:1:0 'G' (Sask)","2:1:0 'G' (Sask)","2:1:0 'G' (Sask)",0.97,94,,,"04"
98,93,1,"0","",2018-09-28 18:10:44,1,2017-09-28 18:10:44,9999-12-31 23:59:59,0,0,"2:1:12 'G'","",1,23,14,1,0,,104,,Cementing Blend,,1413.00,"2:1:12 'G'",,1,2.21,,23,,"2:1:12 'G'",1,14,"2:1:12 'G'","2:1:12 'G'","2:1:12 'G'",1.62,95,,,"04"
99,94,1,"0","",2018-09-28 18:10:44,1,2017-09-28 18:10:44,9999-12-31 23:59:59,0,0,"2:1:12 'G' (Sask)","",1,24,194,1,0,,105,,Cementing Blend,,1413.00,"2:1:12 'G' (Sask)",,1,2.38,,24,,"2:1:12 'G' (Sask)",1,80,"2:1:12 'G' (Sask)","2:1:12 'G' (Sask)","2:1:12 'G' (Sask)",1.70,96,,,"04"
100,95,1,"0","",2018-09-28 18:10:44,1,2017-09-28 18:10:44,9999-12-31 23:59:59,0,0,"2:1:2 'G'","",1,25,195,0,0,,106,,Cementing Blend,,1586.00,"2:1:2 'G'",,1,2.42,,25,,"2:1:2 'G'",1,81,"2:1:2 'G'","2:1:2 'G'","2:1:2 'G'",1.04,97,,,"04"
101,96,1,"0","",2018-09-28 18:10:44,1,2017-09-28 18:10:44,9999-12-31 23:59:59,0,0,"2:1:2 'G' (Sask)","",1,26,196,0,0,,107,,Cementing Blend,,1586.00,"2:1:2 'G' (Sask)",,1,2.63,,26,,"2:1:2 'G' (Sask)",1,82,"2:1:2 'G' (Sask)","2:1:2 'G' (Sask)","2:1:2 'G' (Sask)",1.09,98,,,"04"
102,97,1,"0","",2018-09-28 18:10:44,1,2017-09-28 18:10:44,9999-12-31 23:59:59,0,0,"2:1:4 'G'","",1,27,197,1,0,,108,,Cementing Blend,,1538.00,"2:1:4 'G'",,1,2.37,,27,,"2:1:4 'G'",1,83,"2:1:4 'G'","2:1:4 'G'","2:1:4 'G'",1.15,99,,,"04"
103,98,1,"0","",2018-09-28 18:10:44,1,2017-09-28 18:10:44,9999-12-31 23:59:59,0,0,"2:1:4 'G' (Sask)","",1,28,198,1,0,,109,,Cementing Blend,,1538.00,"2:1:4 'G' (Sask)",,1,2.58,,28,,"2:1:4 'G' (Sask)",1,84,"2:1:4 'G' (Sask)","2:1:4 'G' (Sask)","2:1:4 'G' (Sask)",1.21,100,,,"04"
104,99,1,"0","",2018-09-28 18:10:44,1,2017-09-28 18:10:44,9999-12-31 23:59:59,0,0,"2:1:6 'G'","",1,29,199,1,0,,110,,Cementing Blend,,1494.00,"2:1:6 'G'",,1,2.33,,29,,"2:1:6 'G'",1,85,"2:1:6 'G'","2:1:6 'G'","2:1:6 'G'",1.28,101,,,"04"
105,100,1,"0","",2018-09-28 18:10:44,1,2017-09-28 18:10:44,9999-12-31 23:59:59,0,0,"2:1:6 'G' (Sask)","",1,30,200,1,0,,111,,Cementing Blend,,1494.00,"2:1:6 'G' (Sask)",,1,2.53,,30,,"2:1:6 'G' (Sask)",1,86,"2:1:6 'G' (Sask)","2:1:6 'G' (Sask)","2:1:6 'G' (Sask)",1.34,102,,,"04"
106,101,1,"0","",2018-09-28 18:10:44,1,2017-09-28 18:10:44,9999-12-31 23:59:59,0,0,"2:1:8 'G'","",1,31,201,1,0,,112,,Cementing Blend,,1464.00,"2:1:8 'G'",,1,2.29,,31,,"2:1:8 'G'",1,87,"2:1:8 'G'","2:1:8 'G'","2:1:8 'G'",1.39,103,,,"04"
107,102,1,"0","",2018-09-28 18:10:44,1,2017-09-28 18:10:44,9999-12-31 23:59:59,0,0,"2:1:8 'G' (Sask)","",1,32,202,1,0,,113,,Cementing Blend,,1464.00,"2:1:8 'G' (Sask)",,1,2.48,,32,,"2:1:8 'G' (Sask)",1,88,"2:1:8 'G' (Sask)","2:1:8 'G' (Sask)","2:1:8 'G' (Sask)",1.46,104,,,"04"
108,103,1,"0","",2018-09-28 18:10:44,1,2017-09-28 18:10:44,9999-12-31 23:59:59,0,0,ASC IV,"",1,33,115,0,0,,114,,Cementing Blend,,1750.00,ASC IV,,1,2.96,,33,,ASC IV,1,59,ASC IV Acid Soluble Cement,ASC IV,ASC IV,0.88,105,,,"04"
109,104,1,"0","",2018-09-28 18:10:44,1,2017-09-28 18:10:44,9999-12-31 23:59:59,0,0,Expandomix,"",1,34,16,0,0,,115,,Cementing Blend,,1770.00,Expandomix,,1,3.15,,34,,Expandomix,1,15,Expandomix,Expandomix,Expandomix,0.89,106,,,"30"
110,105,1,"0","",2018-09-28 18:10:44,1,2017-09-28 18:10:44,9999-12-31 23:59:59,0,0,EXPANDOmix PRO HT,"",1,35,254,0,0,,116,,Cementing Blend,,1600.00,EXPANDOmix PRO HT,,1,2.67,,35,,EXPANDOmix PRO HT,1,124,EXPANDOmix PRO HT,EXPANDOmix PRO HT,EXPANDOmix PRO HT,1.04,107,,,"4"
111,106,1,"0","",2018-09-28 18:10:44,1,2017-09-28 18:10:44,9999-12-31 23:59:59,0,0,EXPANDOmix PRO HT (Sask),"",1,36,259,0,0,,117,,Cementing Blend,,1600.00,EXPANDOmix PRO HT (Sask),,1,2.83,,36,,EXPANDOmix PRO HT (SK),1,129,EXPANDOmix PRO HT (Sask),EXPANDOmix PRO HT (SK),EXPANDOmix PRO HT (Sask),1.08,108,,,"4"
112,107,1,"0","",2018-09-28 18:10:44,1,2017-09-28 18:10:44,9999-12-31 23:59:59,0,0,EXPANDOmix PRO LT,"",1,37,253,0,0,,118,,Cementing Blend,,1600.00,EXPANDOmix PRO LT,,1,2.65,,37,,EXPANDOmix PRO LT,1,123,EXPANDOmix PRO LT,EXPANDOmix PRO LT,EXPANDOmix PRO LT,1.04,109,,,"4"
113,108,1,"0","",2018-09-28 18:10:44,1,2017-09-28 18:10:44,9999-12-31 23:59:59,0,0,EXPANDOmix PRO LT (Sask),"",1,38,260,0,0,,119,,Cementing Blend,,1600.00,EXPANDOmix PRO LT (Sask),,1,2.81,,38,,EXPANDOmix PRO LT (SK),1,130,EXPANDOmix PRO LT (Sask),EXPANDOmix PRO LT (SK),EXPANDOmix PRO LT (Sask),1.07,110,,,"4"
114,109,1,"0","",2018-09-28 18:10:44,1,2017-09-28 18:10:44,9999-12-31 23:59:59,0,0,Expandomix HT,"",1,39,17,0,0,,120,,Cementing Blend,,1780.00,Expandomix HT,,1,2.69,,39,,Expandomix HT,1,16,Expandomix HT,Expandomix HT,Expandomix HT,0.81,111,,,"30"
115,110,1,"0","",2018-09-28 18:10:44,1,2017-09-28 18:10:44,9999-12-31 23:59:59,0,0,Expandomix HT (SK),"",1,40,205,1,0,,121,,Cementing Blend,,1780.00,Expandomix HT (SK),,1,2.86,,40,,Expandomix HT (SK),1,89,Expandomix HT (SK),Expandomix HT (SK),Expandomix HT (SK),0.83,112,,,"31"
116,111,1,"0","",2018-09-28 18:10:44,1,2017-09-28 18:10:44,9999-12-31 23:59:59,0,0,Expandomix LWL,"",1,41,60,0,0,,122,,Cementing Blend,,1770.00,Expandomix LWL,,1,3.14,,41,,Expandomix LWL,1,35,Expandomix LWL,Expandomix LWL,Expandomix LWL,0.88,113,,,"04"
117,112,1,"0","",2018-09-28 18:10:44,1,2017-09-28 18:10:44,9999-12-31 23:59:59,0,0,Glacial Mix,"",1,42,19,0,0,,123,,Cementing Blend,,1850.00,Glacial Mix,,1,2.87,,42,,Glacial Mix,1,17,Glacial Mix,Glacial Mix,Glacial Mix,0.77,114,,,"04"
118,113,1,"0","",2018-09-28 18:10:44,1,2017-09-28 18:10:44,9999-12-31 23:59:59,0,0,iBond,"",1,43,93,1,0,,124,,Cementing Blend,,1780.00,iBond,,1,2.90,,43,,iBond,1,52,iBond,iBond,iBond,0.84,115,,,"31"
119,114,1,"0","",2018-09-28 18:10:44,1,2017-09-28 18:10:44,9999-12-31 23:59:59,0,0,iGain (SK),"",1,44,206,0,0,,125,,Cementing Blend,,1500.00,iGain (SK),,1,2.77,,44,,iGain (SK),1,90,iGain (SK),iGain (SK),iGain (SK),1.28,116,,,"01"
120,115,1,"0","",2018-09-28 18:10:44,1,2017-09-28 18:10:44,9999-12-31 23:59:59,0,0,iGain (AB),"",1,45,91,0,0,,126,,Cementing Blend,,1500.00,iGain (AB),,1,2.65,,45,,iGain(AB),1,51,iGain(AB),iGain(AB),iGain (AB),1.25,117,,,"04"
121,116,1,"0","",2018-09-28 18:10:44,1,2017-09-28 18:10:44,9999-12-31 23:59:59,0,0,iPrime (AB),"",1,46,95,1,0,,127,,Cementing Blend,,1500.00,iPrime (AB),,1,2.66,,46,,iPrime (AB),1,53,iPrime (AB),iPrime (AB),iPrime (AB),1.25,118,,,"42"
122,117,1,"0","",2018-09-28 18:10:44,1,2017-09-28 18:10:44,9999-12-31 23:59:59,0,0,iPrime (SK),"",1,47,207,1,0,,128,,Cementing Blend,,1500.00,iPrime (SK),,1,2.77,,47,,iPrime (SK),1,91,iPrime (SK),iPrime (SK),iPrime (SK),1.28,119,,,"42"
123,118,1,"0","",2018-09-28 18:10:44,1,2017-09-28 18:10:44,9999-12-31 23:59:59,0,0,LCS 1600,"",1,48,123,1,0,,129,,Cementing Blend,,1600.00,LCS 1600,,1,2.50,,48,,LCS 1600,1,60,LCS 1600,LCS 1600,LCS 1600,1.00,120,,,"31"
124,119,1,"0","",2018-09-28 18:10:44,1,2017-09-28 18:10:44,9999-12-31 23:59:59,0,0,LCS 1820,"",1,49,108,1,0,,130,,Cementing Blend,,1820.00,LCS 1820,,1,3.10,,49,,LCS 1820,1,54,LCS 1820,LCS 1820,LCS 1820,0.83,121,,,"31"
125,120,1,"0","",2018-09-28 18:10:44,1,2017-09-28 18:10:44,9999-12-31 23:59:59,0,0,LITEmix 1325 (AB),"",1,50,209,0,0,,131,,Cementing Blend,,1325.00,LITEmix 1325 (AB),,1,2.58,,50,,LITEmix 1325 (AB),1,92,LITEmix 1325 (AB),LITEmix 1325 (AB),LITEmix 1325 (AB),1.88,122,,,"42"
126,121,1,"0","",2018-09-28 18:10:44,1,2017-09-28 18:10:44,9999-12-31 23:59:59,0,0,LITEmix 1325 (SK),"",1,51,210,0,0,,132,,Cementing Blend,,1325.00,LITEmix 1325 (SK),,1,2.70,,51,,LITEmix 1325 (SK),1,93,LITEmix 1325 (SK),LITEmix 1325 (SK),LITEmix 1325 (SK),1.94,123,,,"42"
127,122,1,"0","",2018-09-28 18:10:44,1,2017-09-28 18:10:44,9999-12-31 23:59:59,0,0,LITEmix 1400 (AB),"",1,52,211,0,0,,133,,Cementing Blend,,1400.00,LITEmix 1400 (AB),,1,2.58,,52,,LITEmix 1400 (AB),1,94,LITEmix 1400 (AB),LITEmix 1400 (AB),LITEmix 1400 (AB),1.53,124,,,"42"
128,123,1,"0","",2018-09-28 18:10:44,1,2017-09-28 18:10:44,9999-12-31 23:59:59,0,0,LITEmix 1400 (SK),"",1,53,212,0,0,,134,,Cementing Blend,,1400.00,LITEmix 1400 (SK),,1,2.72,,53,,LITEmix 1400 (SK),1,95,LITEmix 1400 (SK),LITEmix 1400 (SK),LITEmix 1400 (SK),1.58,125,,,"42"
129,124,1,"0","",2018-09-28 18:10:44,1,2017-09-28 18:10:44,9999-12-31 23:59:59,0,0,LITEmix EC,"",1,54,261,0,0,,135,,Cementing Blend,,1500.00,LITEmix EC,,1,3.19,,54,,LITEmix EC,1,131,LITEmix EC,LITEmix EC,LITEmix EC,1.37,126,,,"42"
130,125,1,"0","",2018-09-28 18:10:44,1,2017-09-28 18:10:44,9999-12-31 23:59:59,0,0,PRODUCTIONmix 1500 PRO ,"",1,55,213,0,0,,136,,Cementing Blend,,1500.00,PRODUCTIONmix 1500 PRO ,,1,2.70,,55,,PRODUCTIONmix 1500 PRO,1,96,PRODUCTIONmix 1500 PRO ,PRODUCTIONmix 1500 PRO,PRODUCTIONmix 1500 PRO ,1.26,127,,,"42"
131,126,1,"0","",2018-09-28 18:10:44,1,2017-09-28 18:10:44,9999-12-31 23:59:59,0,0,PRODUCTIONmix 1600,"",1,56,214,0,0,,137,,Cementing Blend,,1600.00,PRODUCTIONmix 1600,,1,2.65,,56,,PRODUCTIONmix 1600,1,97,PRODUCTIONmix 1600,PRODUCTIONmix 1600,PRODUCTIONmix 1600,1.04,128,,,"42"
132,127,1,"0","",2018-09-28 18:10:44,1,2017-09-28 18:10:44,9999-12-31 23:59:59,0,0,PRODUCTIONmix 1600 (SK),"",1,57,215,0,0,,138,,Cementing Blend,,1600.00,PRODUCTIONmix 1600 (SK),,1,2.76,,57,,PRODUCTIONmix 1600 (SK),1,98,PRODUCTIONmix 1600 (SK),PRODUCTIONmix 1600 (SK),PRODUCTIONmix 1600 (SK),1.06,129,,,"42"
133,128,1,"0","",2018-09-28 18:10:44,1,2017-09-28 18:10:44,9999-12-31 23:59:59,0,0,PRODUCTIONmix 1725,"",1,58,216,0,0,,139,,Cementing Blend,,1725.00,PRODUCTIONmix 1725,,1,3.14,,58,,PRODUCTIONmix 1725,1,99,PRODUCTIONmix 1725,PRODUCTIONmix 1725,PRODUCTIONmix 1725,0.94,130,,,"31"
134,129,1,"0","",2018-09-28 18:10:44,1,2017-09-28 18:10:44,9999-12-31 23:59:59,0,0,PRODUCTIONmix EC,"",1,59,256,0,0,,140,,Cementing Blend,,1640.00,PRODUCTIONmix EC,,1,2.62,,59,,PRODUCTIONmix EC,1,126,PRODUCTIONmix EC,PRODUCTIONmix EC,PRODUCTIONmix EC,0.97,131,,,"3"
135,130,1,"0","",2018-09-28 18:10:44,1,2017-09-28 18:10:44,9999-12-31 23:59:59,0,0,PRODUCTIONmix EC (Sask),"",1,60,262,0,0,,141,,Cementing Blend,,1640.00,PRODUCTIONmix EC (Sask),,1,2.82,,60,,PRODUCTIONmix EC (SK),1,132,PRODUCTIONmix EC (Sask),PRODUCTIONmix EC (SK),PRODUCTIONmix EC (Sask),1.01,132,,,"3"
136,131,1,"0","",2018-09-28 18:10:44,1,2017-09-28 18:10:44,9999-12-31 23:59:59,0,0,PRODUCTIONmix LW,"",1,61,255,1,0,,142,,Cementing Blend,,1500.00,PRODUCTIONmix LW,,1,2.71,,61,,PRODUCTIONmix LW,1,125,PRODUCTIONmix LW,PRODUCTIONmix LW,PRODUCTIONmix LW,1.26,133,,,"31"
137,132,1,"0","",2018-09-28 18:10:44,1,2017-09-28 18:10:44,9999-12-31 23:59:59,0,0,PRODUCTIONmix LW (Sask),"",1,62,263,1,0,,143,,Cementing Blend,,1500.00,PRODUCTIONmix LW (Sask),,1,2.87,,62,,PRODUCTIONmix LW (SK),1,133,PRODUCTIONmix LW (Sask),PRODUCTIONmix LW (SK),PRODUCTIONmix LW (Sask),1.30,134,,,"31"
138,133,1,"0","",2018-09-28 18:10:44,1,2017-09-28 18:10:44,9999-12-31 23:59:59,0,0,PRODUCTIONmix THX ,"",1,63,218,1,0,,144,,Cementing Blend,,1550.00,PRODUCTIONmix THX ,,1,2.68,,63,,PRODUCTIONmix THX,1,101,PRODUCTIONmix THX ,PRODUCTIONmix THX,PRODUCTIONmix THX ,1.14,135,,,"4"
139,134,1,"0","",2018-09-28 18:10:44,1,2017-09-28 18:10:44,9999-12-31 23:59:59,0,0,Proteus Core,"",1,64,111,1,0,,145,,Cementing Blend,,1700.00,Proteus Core,,1,2.84,,64,,Proteus Core,1,56,Proteus Core,Proteus Core,Proteus Core,0.93,136,,,"31"
140,135,1,"0","",2018-09-28 18:10:45,1,2017-09-28 18:10:45,9999-12-31 23:59:59,0,0,Proteus LCS,"",1,65,141,0,0,,146,,Cementing Blend,,1750.00,Proteus LCS,,1,2.84,,65,,Proteus LCS,1,61,Proteus LCS,Proteus LCS,Proteus LCS,0.86,137,,,"30"
141,136,1,"0","",2018-09-28 18:10:45,1,2017-09-28 18:10:45,9999-12-31 23:59:59,0,0,Proteus Pro,"",1,66,110,0,0,,147,,Cementing Blend,,1725.00,Proteus Pro,,1,2.84,,66,,Proteus Pro,1,55,Proteus Pro,Proteus Pro,Proteus Pro,0.89,138,,,"30"
142,137,1,"0","",2018-09-28 18:10:45,1,2017-09-28 18:10:45,9999-12-31 23:59:59,0,0,RAS II,"",1,67,48,0,0,,148,,Cementing Blend,,1740.00,RAS II,,1,2.86,,67,,RAS II,1,24,RAS II,RAS II,RAS II,0.88,139,,,"30"
143,138,1,"0","",2018-09-28 18:10:45,1,2017-09-28 18:10:45,9999-12-31 23:59:59,0,0,SURFACEmix LW PRO + Additives,"",0,92,,0,0,,173,,,,,SURFACEmix LW PRO + Additives,,,,,91,,,,,SURFACEmix LW PRO  + Additives,,SURFACEmix LW PRO + Additives,,162,,,""
144,139,1,"0","",2018-09-28 18:10:45,1,2017-09-28 18:10:45,9999-12-31 23:59:59,0,0,SanSeal HT,"",1,69,114,1,0,,150,,Cementing Blend,,1500.00,SanSeal HT,,1,2.87,,69,,SanSeal HT,1,58,SanSeal HT,SanSeal HT,SanSeal HT,1.30,140,,,"30"
145,140,1,"0","",2018-09-28 18:10:45,1,2017-09-28 18:10:45,9999-12-31 23:59:59,0,0,SSi,"",1,70,62,1,0,,151,,Cementing Blend,,1750.00,SSi,,1,2.92,,70,,SSi,1,36,SSi,SSi,SSi,0.88,141,,,"31"
146,141,1,"0","",2018-09-28 18:10:45,1,2017-09-28 18:10:45,9999-12-31 23:59:59,0,0,Superlite 13,"",1,71,42,1,0,,152,,Cementing Blend,,1300.00,Superlite 13,,1,1.79,,71,,Superlite 13,1,22,Superlite 13,Superlite 13,Superlite 13,1.48,142,,,"42"
147,142,1,"0","",2018-09-28 18:10:45,1,2017-09-28 18:10:45,9999-12-31 23:59:59,0,0,Superlite 13 (CDM-5),"",1,72,225,1,0,,153,,Cementing Blend,,1300.00,Superlite 13 (CDM-5),,1,1.80,,72,,Superlite 13 (CDM-5),1,102,Superlite 13 (CDM-5),Superlite 13 (CDM-5),Superlite 13 (CDM-5),1.48,143,,,"01"
148,143,1,"0","",2018-09-28 18:10:45,1,2017-09-28 18:10:45,9999-12-31 23:59:59,0,0,SUPERLITEmix PRO HT ,"",1,73,264,0,0,,154,,Cementing Blend,,1200.00,SUPERLITEmix PRO HT ,,1,1.48,,73,,SUPERLITEmix PRO HT,1,134,SUPERLITEmix PRO HT ,SUPERLITEmix PRO HT,SUPERLITEmix PRO HT ,1.62,144,,,"42"
149,144,1,"0","",2018-09-28 18:10:45,1,2017-09-28 18:10:45,9999-12-31 23:59:59,0,0,SUPERLITEmix PRO ,"",1,74,229,0,0,,155,,Cementing Blend,,1175.00,SUPERLITEmix PRO ,,1,1.42,,74,,SUPERLITEmix PRO,1,106,SUPERLITEmix PRO ,SUPERLITEmix PRO,SUPERLITEmix PRO ,1.70,145,,,"42"
150,145,1,"0","",2018-09-28 18:10:45,1,2017-09-28 18:10:45,9999-12-31 23:59:59,0,0,SURFACEmix LW (SK) ,"",1,75,231,0,0,,156,,Cementing Blend,,1600.00,SURFACEmix LW (SK) ,,1,2.76,,75,,SURFACEmix LW (SK),1,108,SURFACEmix LW (SK) ,SURFACEmix LW (SK),SURFACEmix LW (SK) ,1.06,146,,,"42"
151,146,1,"0","",2018-09-28 18:10:45,1,2017-09-28 18:10:45,9999-12-31 23:59:59,0,0,SURFACEmix LW PRO,"",1,76,232,1,0,,157,,Cementing Blend,,1550.00,SURFACEmix LW PRO ,,1,2.71,,76,,SURFACEmix LW PRO,1,109,SURFACEmix LW PRO ,SURFACEmix LW PRO,SURFACEmix LW PRO,1.15,147,,,"31"
152,147,1,"0","",2018-09-28 18:10:45,1,2017-09-28 18:10:45,9999-12-31 23:59:59,0,0,SURFACEmix LW PRO (SK) ,"",1,77,233,1,0,,158,,Cementing Blend,,1550.00,SURFACEmix LW PRO (SK) ,,1,2.87,,77,,SURFACEmix LW PRO (SK),1,110,SURFACEmix LW PRO (SK) ,SURFACEmix LW PRO (SK),SURFACEmix LW PRO (SK) ,1.18,148,,,"31"
153,148,1,"0","",2018-09-28 18:10:45,1,2017-09-28 18:10:45,9999-12-31 23:59:59,0,0,SURFACEmix PRO,"",1,78,234,1,0,,159,,Cementing Blend,,1700.00,SURFACEmix PRO,,1,3.19,,78,,SURFACEmix PRO,1,111,SURFACEmix PRO,SURFACEmix PRO,SURFACEmix PRO,0.98,149,,,"31"
154,149,1,"0","",2018-09-28 18:10:45,1,2017-09-28 18:10:45,9999-12-31 23:59:59,0,0,SURFACEmix PRO SL,"",1,79,235,1,0,,160,,Cementing Blend,,1700.00,SURFACEmix PRO SL,,1,2.95,,79,,SURFACEmix PRO SL,1,112,SURFACEmix PRO SL,SURFACEmix PRO SL,SURFACEmix PRO SL,0.94,150,,,"31"
155,150,1,"0","",2018-09-28 18:10:45,1,2017-09-28 18:10:45,9999-12-31 23:59:59,0,0,SURFACEmix SLW,"",1,80,142,1,0,,161,,Cementing Blend,,1200.00,SURFACEmix SLW,,1,1.40,,80,,SURFACEmix SLW,1,62,SURFACEmix SLW,SURFACEmix SLW,SURFACEmix SLW,1.44,151,,,"31"
156,151,1,"0","",2018-09-28 18:10:45,1,2017-09-28 18:10:45,9999-12-31 23:59:59,0,0,SurfLite (SK) ,"",1,81,237,0,0,,162,,Cementing Blend,,1730.00,SurfLite (SK) ,,1,2.89,,81,,SurfLite (SK),1,113,SurfLite (SK) ,SurfLite (SK),SurfLite (SK) ,0.90,152,,,"03"
157,152,1,"0","",2018-09-28 18:10:45,1,2017-09-28 18:10:45,9999-12-31 23:59:59,0,0,Thermal 40,"",1,82,26,1,0,,163,,Cementing Blend,,1885.00,Thermal 40,,1,3.01,,82,,Thermal 40,1,19,Thermal 40,Thermal 40,Thermal 40,0.75,153,,,"04"
158,153,1,"0","",2018-09-28 18:10:45,1,2017-09-28 18:10:45,9999-12-31 23:59:59,0,0,Thermal 40 EXP,"",1,83,28,1,0,,164,,Cementing Blend,,1820.00,Thermal 40 EXP,,1,3.00,,83,,Thermal 40 EXP,1,20,Thermal 40 EXP,Thermal 40 EXP,Thermal 40 EXP,0.81,154,,,"04"
159,154,1,"0","",2018-09-28 18:10:45,1,2017-09-28 18:10:45,9999-12-31 23:59:59,0,0,THERMAmix EC,"",1,84,143,1,0,,165,,Cementing Blend,,1750.00,THERMAmix EC,,1,2.65,,84,,THERMAmix EC,1,63,THERMAmix EC,THERMAmix EC,THERMAmix EC,0.83,155,,,"30"
160,155,1,"0","",2018-09-28 18:10:45,1,2017-09-28 18:10:45,9999-12-31 23:59:59,0,0,THERMAmix LT,"",1,85,240,1,0,,166,,Cementing Blend,,1840.00,THERMAmix LT,,1,2.88,,85,,THERMAmix LT,1,114,THERMAmix LT,THERMAmix LT,THERMAmix LT,0.78,156,,,"30"
162,156,1,"0","",2018-09-28 18:10:45,1,2017-09-28 18:10:45,9999-12-31 23:59:59,0,0,ThixLite HT (AB) ,"",1,87,21,0,0,,168,,Cementing Blend,,1500.00,ThixLite HT (AB) ,,1,2.66,,86,,ThixLite HT (AB),1,18,ThixLite HT (AB) ,ThixLite HT (AB),ThixLite HT (AB) ,1.25,157,,,"30"
163,157,1,"0","",2018-09-28 18:10:45,1,2017-09-28 18:10:45,9999-12-31 23:59:59,0,0,ThixLite HT (SK) ,"",1,88,242,0,0,,169,,Cementing Blend,,1500.00,ThixLite HT (SK) ,,1,2.81,,87,,ThixLite HT (SK),1,115,ThixLite HT (SK) ,ThixLite HT (SK),ThixLite HT (SK) ,1.29,158,,,"36"
164,158,1,"0","",2018-09-28 18:10:45,1,2017-09-28 18:10:45,9999-12-31 23:59:59,0,0,SURFACEmix LW PRO SL,"",1,89,243,1,0,,170,,Cementing Blend,,1550.00,SURFACEmix LW PRO SL,,1,2.63,,88,,SURFACEmix LW PRO SL,1,116,SURFACEmix LW PRO SL,SURFACEmix LW PRO SL,SURFACEmix LW PRO SL,1.13,159,,,"3"
165,159,1,"0","",2018-09-28 18:10:45,1,2017-09-28 18:10:45,9999-12-31 23:59:59,0,0,LDP-C-0117,"",1,90,244,0,0,,171,,Cementing Blend,,1200.00,LDP-C-0117,,1,1.38,,89,,LDP-C-0117,1,117,LDP-C-0117,LDP-C-0117,LDP-C-0117,1.38,160,,,TBD
166,160,1,"0","",2018-09-28 18:10:45,1,2017-09-28 18:10:45,9999-12-31 23:59:59,0,0,SUPERLITEmix 1160,"",1,91,226,1,0,,172,,Cementing Blend,,1160.00,SUPERLITEmix 1160,,1,1.52,,90,,SUPERLITEmix 1160,1,103,SUPERLITEmix 1160,SUPERLITEmix 1160,SUPERLITEmix 1160,2.14,161,,,"42"
167,161,1,"0","",2018-09-28 18:10:45,1,2017-09-28 18:10:45,9999-12-31 23:59:59,0,0,"0:1:0 'A' + Additives","",0,93,,0,0,,263,,,,,"0:1:0 'A' + Additives",,,,,92,,,,,"0:1:0 'A' + Additives",,"0:1:0 'A' + Additives",,251,,,""
168,162,1,"0","",2018-09-28 18:10:45,1,2017-09-28 18:10:45,9999-12-31 23:59:59,0,0,"0:1:0 'C' + Additives","",0,94,,0,0,,174,,,,,"0:1:0 'C' + Additives",,,,,93,,,,,"0:1:0 'C' + Additives",,"0:1:0 'C' + Additives",,163,,,""
169,163,1,"0","",2018-09-28 18:10:45,1,2017-09-28 18:10:45,9999-12-31 23:59:59,0,0,"0:1:0 'G' + Additives","",0,95,,0,0,,175,,,,,"0:1:0 'G' + Additives",,,,,94,,,,,"0:1:0 'G' + Additives",,"0:1:0 'G' + Additives",,164,,,""
170,164,1,"0","",2018-09-28 18:10:45,1,2017-09-28 18:10:45,9999-12-31 23:59:59,0,0,"0:1:12 'G' + Additives","",0,96,,0,0,,176,,,,,"0:1:12 'G' + Additives",,,,,95,,,,,"0:1:12 'G' + Additives",,"0:1:12 'G' + Additives",,165,,,""
171,165,1,"0","",2018-09-28 18:10:45,1,2017-09-28 18:10:45,9999-12-31 23:59:59,0,0,"0:1:2 'G' + Additives","",0,97,,0,0,,177,,,,,"0:1:2 'G' + Additives",,,,,96,,,,,"0:1:2 'G' + Additives",,"0:1:2 'G' + Additives",,166,,,""
172,166,1,"0","",2018-09-28 18:10:45,1,2017-09-28 18:10:45,9999-12-31 23:59:59,0,0,"0:1:4 'G' + Additives","",0,98,,0,0,,178,,,,,"0:1:4 'G' + Additives",,,,,97,,,,,"0:1:4 'G' + Additives",,"0:1:4 'G' + Additives",,167,,,""
173,167,1,"0","",2018-09-28 18:10:45,1,2017-09-28 18:10:45,9999-12-31 23:59:59,0,0,"0:1:6 'G' + Additives","",0,99,,0,0,,179,,,,,"0:1:6 'G' + Additives",,,,,98,,,,,"0:1:6 'G' + Additives",,"0:1:6 'G' + Additives",,168,,,""
