eService Import Sheet,,,,,,,,,,,,
Header Information,,,,,,,,,,,,
Program Description,,Program 2 of 2 - Plugs 6 to 8,Well Name,Peyto Edson,Business Unit,Canada,,,,,,
Main Service Line,,Cementing,Well Location (Surface),Surface ( 1-31 ),Business Unit ID,0,Invoice Consulting Firm?,No,,,,
MSL ID,,13,Well Location (UWI),100/1-29-54-19W5,Price Book Version,Version 8,Government Program,,,,,
Multi-Service Line?,,No,Province / State,AB,Price Book ID,12,Grant Agreement Number,0,,,,
Client,,Peyto Exploration & Development Corp.,Province / State ID,1,Pricing Method,Summary with Details,Prepay Grant Amount,0,,,,
Client ID,,3758,High Profile / Critical Well,No,Invoice Method,Job,Interm Grant Amount,0,,,,
Charge Method,,Summary with Details,Pricing Area,1,Time Span Bundle Type per,Job,Application Amount,0,,,,
Discount (%),,65,PA ID,1,Call Sheet Type,Pumping,,,,,,
Travel Base Charge,,220,Dispatch District,Edson,Will this Job have Multiple Service Reports,No,Estimated Start Date,,,,,
Consulting Firm,,Company,DD ID,81,Country,Canada,Rig Name,Ensign 432,,,,
Consulting firm ID,,Client ID,Service Point,Edson,Thermal Well or Area,No,Well Type,Producer,,,,
Delivery Distance,,220,SP ID,81,Sanjel Program Generated,Yes,Well Objective,Oil,,,,
Field,,,TMA,NoTma,# of jobs in import sheet,1,Sales Forecast Number,0,,,,
Client Solutions Rep,,Arnie Lewis,TMA %,0,Formation,Falher ,Iteration,1,,,,
CS ID,,12605,Revision,3,Multiwell?,No,Remedial Objective,0,,,,
Job Designer,,Landon Olson,Option,0,Well Count,1,,,,,,
JD ID,,30930,,,Bid Program,No,,,,,,
Program ID,,PRG2300995,,,Rev Desc,Plug depth change,,,,,,
Template ID,,1,,,Field Blend Test,No,,,,,,
# of Shifts,,,# of Wells,,# of Tonne,,,,,,,
# of Days,,,# of Jobs,1,# of Blend,,,,,,,
# of Zones,,,# of Stages,,# of m3,,,,,,,
,,,,,,,,,,,,
Template Job Type,,Plugs,,,,,,,,,,
Job Type,,Primary Abandonment Plug,8,,,,Pumping Serice Line Type,Primary Cementing,Total Revenue,35101.5,,
Job Type ID,,4281,Depth Base Charge,1275,,,Stage / Plug Treatment Information Type,Plug,Execution Order,51,,
,,,Risk Matrix,42,,,# of Plugs,3,,,,
Bundle Name,,Services,,,, ,,,,,,
Bundle Category,,Services,,,,,,,,,,
Bundle Type,,Job,,,,,,,,,,
Number of Bundles,,1,,,Details Pricing,,/ Job(s),,,,,
Pricing Method,,Summary With Details,,,Summary Pricing,,/ 1 Job(s),,,,,
Invoice Method,,Job,,,Details Invoice,,/ Job(s),,,,,
Quantity of Bundles,,1,,,Summary Invoice,,/ 1 Job(s),,,, ,
Bundle Code,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Item Code,Discountable,Description,Quantity 1,Quantity 2,Net Price,Net Amount,Discount%,Unit Book Price,Amount,Discount Amount,Calculated Discount %,Included?
116033,*,Pumping Service: Cementing Base Charge (6 hours),1,0,0,,0.65,POR,#VALUE!,#VALUE!,,
111006,,Pumper Base Charge,1,0,Included,Included,0.65,5400,5400,,,Yes
111380,#N/A,Pumper Unit Travel,1,220,Included,Included,0.65,8.3,1826,,,Yes
111382,,Pickup Travel,1,220,Included,Included,0.65,3.9,858,,,Yes
111493,*,Environmental Surcharge,1,0,Included,Included,0,55,55,,,Yes
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
